pergunta,resposta
"Qual o procedimento para contatar minha AR?","Você pode entrar em contato com sua administração regional através do telefone 162, pelo site do GDF ou pessoalmente na sede da administração."
"Como entro em contato com minha administração regional?","Você pode entrar em contato com sua administração regional através do telefone 162, pelo site do GDF ou pessoalmente na sede da administração."
"Quais são as formas de entrar em contato com a AR local?","Você pode entrar em contato com sua administração regional através do telefone 162, pelo site do GDF ou pessoalmente na sede da administração."
"Como posso falar com minha administração regional?","Você pode entrar em contato com sua administração regional através do telefone 162, pelo site do GDF ou pessoalmente na sede da administração."
"Para conversar com alguém da administração regional, como proceder?","Você pode entrar em contato com sua administração regional através do telefone 162, pelo site do GDF ou pessoalmente na sede da administração."
"Onde fica a sede da administração regional do Plano Piloto?","A sede da administração regional do Plano Piloto fica na SQS 104, Bloco A, Edifício Sede."
"Qual o endereço da AR do Plano Piloto?","A sede da administração regional do Plano Piloto fica na SQS 104, Bloco A, Edifício Sede."
"Onde fica a AR do Plano Piloto?","A sede da administração regional do Plano Piloto fica na SQS 104, Bloco A, Edifício Sede."
"Endereço da AR Plano Piloto, por favor.","A sede da administração regional do Plano Piloto fica na SQS 104, Bloco A, Edifício Sede."
"Endereço da administração do Plano Piloto?","A sede da administração regional do Plano Piloto fica na SQS 104, Bloco A, Edifício Sede."
"Me passa o endereço da administração do Plano Piloto.","A sede da administração regional do Plano Piloto fica na SQS 104, Bloco A, Edifício Sede."
"Quais documentos preciso para solicitar um alvará de construção?","Para solicitar um alvará de construção, você precisa apresentar projeto arquitetônico aprovado, ART do responsável técnico, comprovante de propriedade e documentos pessoais."
"Que papelada é necessária para o alvará de construção?","Para solicitar um alvará de construção, você precisa apresentar projeto arquitetônico aprovado, ART do responsável técnico, comprovante de propriedade e documentos pessoais."
"Como solicitar alvará de construção?","Para solicitar um alvará de construção, você precisa apresentar projeto arquitetônico aprovado, ART do responsável técnico, comprovante de propriedade e documentos pessoais."
"Qual o processo para pedir alvará de construção?","Para solicitar um alvará de construção, você precisa apresentar projeto arquitetônico aprovado, ART do responsável técnico, comprovante de propriedade e documentos pessoais."
"O que preciso para alvará de construção?","Para solicitar um alvará de construção, você precisa apresentar projeto arquitetônico aprovado, ART do responsável técnico, comprovante de propriedade e documentos pessoais."
"Quais são as exigências para conseguir um alvará de construção?","Para solicitar um alvará de construção, você precisa apresentar projeto arquitetônico aprovado, ART do responsável técnico, comprovante de propriedade e documentos pessoais."
"Documentos para alvará de construção?","Para solicitar um alvará de construção, você precisa apresentar projeto arquitetônico aprovado, ART do responsável técnico, comprovante de propriedade e documentos pessoais."
"Poderia listar os documentos para o alvará de construção?","Para solicitar um alvará de construção, você precisa apresentar projeto arquitetônico aprovado, ART do responsável técnico, comprovante de propriedade e documentos pessoais."
"Como denunciar uma construção irregular?","Você pode denunciar construções irregulares através do telefone 162, pelo site do GDF ou pessoalmente na administração regional."
"Onde reclamo de obra irregular?","Você pode denunciar construções irregulares através do telefone 162, pelo site do GDF ou pessoalmente na administração regional."
"Como denunciar obra irregular?","Você pode denunciar construções irregulares através do telefone 162, pelo site do GDF ou pessoalmente na administração regional."
"Para denunciar obra clandestina, como proceder?","Você pode denunciar construções irregulares através do telefone 162, pelo site do GDF ou pessoalmente na administração regional."
"Como denunciar construção ilegal?","Você pode denunciar construções irregulares através do telefone 162, pelo site do GDF ou pessoalmente na administração regional."
"Como informar sobre uma construção que não segue as leis?","Você pode denunciar construções irregulares através do telefone 162, pelo site do GDF ou pessoalmente na administração regional."
"O que fazer em caso de poda irregular de árvores?","Em caso de poda irregular de árvores, você deve registrar uma denúncia na administração regional ou pelo telefone 162."
"Como denunciar corte de árvore errado?","Em caso de poda irregular de árvores, você deve registrar uma denúncia na administração regional ou pelo telefone 162."
"Como denunciar poda irregular?","Em caso de poda irregular de árvores, você deve registrar uma denúncia na administração regional ou pelo telefone 162."
"Qual o procedimento para denunciar uma poda de árvore incorreta?","Em caso de poda irregular de árvores, você deve registrar uma denúncia na administração regional ou pelo telefone 162."
"Como solicitar limpeza de terrenos baldios?","A solicitação de limpeza de terrenos baldios pode ser feita pelo telefone 162 ou na administração regional."
"Como pedir para limpar um lote sujo?","A solicitação de limpeza de terrenos baldios pode ser feita pelo telefone 162 ou na administração regional."
"Como pedir limpeza de terreno?","A solicitação de limpeza de terrenos baldios pode ser feita pelo telefone 162 ou na administração regional."
"Quero solicitar a limpeza de um terreno, como faço?","A solicitação de limpeza de terrenos baldios pode ser feita pelo telefone 162 ou na administração regional."
"Como limpar terreno baldio?","A solicitação de limpeza de terrenos baldios pode ser feita pelo telefone 162 ou na administração regional."
"De que forma consigo a limpeza de um terreno baldio?","A solicitação de limpeza de terrenos baldios pode ser feita pelo telefone 162 ou na administração regional."
"Quais são os horários de funcionamento das administrações regionais?","As administrações regionais funcionam de segunda a sexta-feira, das 8h às 18h. (Este é um horário geral, o de São Sebastião pode variar)"
"Que horas as administrações regionais atendem?","As administrações regionais funcionam de segunda a sexta-feira, das 8h às 18h. (Este é um horário geral, o de São Sebastião pode variar)"
"Qual o horário da administração regional?","As administrações regionais funcionam de segunda a sexta-feira, das 8h às 18h. (Este é um horário geral, o de São Sebastião pode variar)"
"A administração regional funciona em qual horário?","As administrações regionais funcionam de segunda a sexta-feira, das 8h às 18h. (Este é um horário geral, o de São Sebastião pode variar)"
"Que horas abre a administração regional?","As administrações regionais funcionam de segunda a sexta-feira, das 8h às 18h. (Este é um horário geral, o de São Sebastião pode variar)"
"A partir de que horas a administração regional está aberta?","As administrações regionais funcionam de segunda a sexta-feira, das 8h às 18h. (Este é um horário geral, o de São Sebastião pode variar)"
"Como solicitar manutenção de iluminação pública?","A solicitação de manutenção de iluminação pública deve ser feita através do telefone 155, no site da CEB IPes ou pelo aplicativo Ilumina DF."
"Poste de luz queimado na minha rua, como peço o conserto?","A solicitação de manutenção de iluminação pública deve ser feita através do telefone 155, no site da CEB IPes ou pelo aplicativo Ilumina DF."
"Como pedir conserto de poste?","A solicitação de manutenção de iluminação pública deve ser feita através do telefone 155, no site da CEB IPes ou pelo aplicativo Ilumina DF."
"Minha rua está escura, como solicitar conserto do poste?","A solicitação de manutenção de iluminação pública deve ser feita através do telefone 155, no site da CEB IPes ou pelo aplicativo Ilumina DF."
"Como consertar poste de luz?","A solicitação de manutenção de iluminação pública deve ser feita através do telefone 155, no site da CEB IPes ou pelo aplicativo Ilumina DF."
"Poste com lâmpada piscando, como resolver?","A solicitação de manutenção de iluminação pública deve ser feita através do telefone 155, no site da CEB IPes ou pelo aplicativo Ilumina DF."
"Quais são os requisitos para abrir um comércio?","Para abrir um comércio, é necessário alvará de funcionamento, licença sanitária, projeto de prevenção contra incêndio e outros documentos específicos do ramo de atividade."
"O que precisa para legalizar uma loja?","Para abrir um comércio, é necessário alvará de funcionamento, licença sanitária, projeto de prevenção contra incêndio e outros documentos específicos do ramo de atividade."
"Como abrir um comércio?","Para abrir um comércio, é necessário alvará de funcionamento, licença sanitária, projeto de prevenção contra incêndio e outros documentos específicos do ramo de atividade."
"Quais os passos para abrir uma empresa comercial?","Para abrir um comércio, é necessário alvará de funcionamento, licença sanitária, projeto de prevenção contra incêndio e outros documentos específicos do ramo de atividade."
"O que preciso para abrir loja?","Para abrir um comércio, é necessário alvará de funcionamento, licença sanitária, projeto de prevenção contra incêndio e outros documentos específicos do ramo de atividade."
"Para ter uma loja funcionando legalmente, o que é exigido?","Para abrir um comércio, é necessário alvará de funcionamento, licença sanitária, projeto de prevenção contra incêndio e outros documentos específicos do ramo de atividade."
"Como regularizar uma construção irregular?","Para regularizar uma construção irregular, é necessário apresentar projeto regularizador na administração regional e pagar as multas devidas."
"Como legalizar uma obra feita sem alvará?","Para regularizar uma construção irregular, é necessário apresentar projeto regularizador na administração regional e pagar as multas devidas."
"Como legalizar uma construção?","Para regularizar uma construção irregular, é necessário apresentar projeto regularizador na administração regional e pagar as multas devidas."
"Tenho uma construção não legalizada, como proceder?","Para regularizar uma construção irregular, é necessário apresentar projeto regularizador na administração regional e pagar as multas devidas."
"Como regularizar obra irregular?","Para regularizar uma construção irregular, é necessário apresentar projeto regularizador na administração regional e pagar as multas devidas."
"Minha obra está irregular, como coloco em dia?","Para regularizar uma construção irregular, é necessário apresentar projeto regularizador na administração regional e pagar as multas devidas."
"O que fazer em caso de vazamento de água na via pública?","Em caso de vazamento de água na via pública, você deve entrar em contato com a CAESB pelo telefone 115."
"Água vazando na rua, quem devo chamar?","Em caso de vazamento de água na via pública, você deve entrar em contato com a CAESB pelo telefone 115."
"Como denunciar vazamento de água?","Em caso de vazamento de água na via pública, você deve entrar em contato com a CAESB pelo telefone 115."
"Onde informo sobre um vazamento de água na rua?","Em caso de vazamento de água na via pública, você deve entrar em contato com a CAESB pelo telefone 115."
"Como solicitar poda de árvore em via pública?","A solicitação de poda de árvore em via pública deve ser feita na administração regional ou pelo telefone 162."
"Preciso podar uma árvore na calçada, como peço?","A solicitação de poda de árvore em via pública deve ser feita na administração regional ou pelo telefone 162."
"Como pedir poda de árvore?","A solicitação de poda de árvore em via pública deve ser feita na administração regional ou pelo telefone 162."
"Quero que podem uma árvore, como solicito?","A solicitação de poda de árvore em via pública deve ser feita na administração regional ou pelo telefone 162."
"Como cortar árvore na rua?","A solicitação de poda de árvore em via pública deve ser feita na administração regional ou pelo telefone 162. (Lembrando que o cidadão não deve cortar, mas solicitar o serviço)."
"É permitido cortar árvore na rua? Como proceder?","A solicitação de poda de árvore em via pública deve ser feita na administração regional ou pelo telefone 162. O cidadão não deve realizar o corte por conta própria."
"Quais são os documentos necessários para solicitar uma vaga em creche?","Para solicitar vaga em creche, são necessários documentos pessoais da criança e dos responsáveis, comprovante de residência e declaração de renda."
"Que documentos preciso para matricular meu filho na creche pública?","Para solicitar vaga em creche, são necessários documentos pessoais da criança e dos responsáveis, comprovante de residência e declaração de renda."
"Como matricular em creche?","Para solicitar vaga em creche, são necessários documentos pessoais da criança e dos responsáveis, comprovante de residência e declaração de renda."
"Qual o processo para inscrever criança em creche pública?","Para solicitar vaga em creche, são necessários documentos pessoais da criança e dos responsáveis, comprovante de residência e declaração de renda. As inscrições geralmente seguem um calendário da Secretaria de Educação."
"Como conseguir vaga em creche?","Para solicitar vaga em creche, são necessários documentos pessoais da criança e dos responsáveis, comprovante de residência e declaração de renda. É preciso acompanhar os períodos de inscrição da Secretaria de Educação."
"Quais os passos para obter uma vaga em creche municipal/distrital?","Para solicitar vaga em creche, são necessários documentos pessoais da criança e dos responsáveis, comprovante de residência e declaração de renda, e seguir o processo de inscrição da Secretaria de Educação do DF."
"Como denunciar poluição sonora?","Denúncias de poluição sonora podem ser feitas pelo telefone 162 ou na administração regional."
"Vizinho com som alto, onde reclamo?","Denúncias de poluição sonora podem ser feitas pelo telefone 162 ou na administração regional."
"Como denunciar barulho?","Denúncias de poluição sonora podem ser feitas pelo telefone 162 ou na administração regional."
"Para denunciar barulho de vizinho, como faço?","Denúncias de poluição sonora podem ser feitas pelo telefone 162 ou na administração regional."
"Como reclamar de barulho?","Denúncias de poluição sonora podem ser feitas pelo telefone 162 ou na administração regional."
"Onde posso fazer uma reclamação sobre excesso de barulho?","Denúncias de poluição sonora podem ser feitas pelo telefone 162 ou na administração regional."
"O que fazer em caso de buracos na via pública?","Em caso de buracos na via pública, você deve registrar uma solicitação de reparo pelo telefone 162."
"Rua cheia de buracos, quem arruma?","Em caso de buracos na via pública, você deve registrar uma solicitação de reparo pelo telefone 162."
"Como denunciar buraco na rua?","Em caso de buracos na via pública, você deve registrar uma solicitação de reparo pelo telefone 162."
"Para informar sobre buraco na rua, qual o canal?","Em caso de buracos na via pública, você deve registrar uma solicitação de reparo pelo telefone 162."
"Como solicitar conserto de rua?","Em caso de buracos na via pública, você deve registrar uma solicitação de reparo pelo telefone 162."
"Minha rua precisa de reparos, como solicito?","Em caso de buracos na via pública, você deve registrar uma solicitação de reparo pelo telefone 162."
"Como solicitar coleta de entulho?","A solicitação de coleta de entulho pode ser feita pelo telefone 162 ou no site do SLU."
"Tenho entulho para descartar, como peço a coleta?","A solicitação de coleta de entulho pode ser feita pelo telefone 162 ou no site do SLU."
"Como pedir coleta de lixo?","A solicitação de coleta de entulho (lixo de maior volume) pode ser feita pelo telefone 162 ou no site do SLU. Para lixo doméstico comum, siga o calendário de coleta regular."
"Como faço para pedir que recolham o lixo (entulho/restos de poda)?","A solicitação de coleta de entulho e restos de poda pode ser feita pelo telefone 162 ou no site do SLU."
"Como descartar entulho?","A solicitação de coleta de entulho pode ser feita pelo telefone 162 ou no site do SLU. Não descarte em locais irregulares."
"Onde posso jogar entulho de construção de forma correta?","Você deve solicitar a coleta de entulho pelo telefone 162 ou no site do SLU, ou procurar um Papa Entulho."
"Quais são os requisitos para instalar uma placa comercial?","Para instalar uma placa comercial, é necessário aprovação prévia da administração regional e seguir as normas de publicidade."
"O que preciso para colocar uma placa na fachada da minha loja?","Para instalar uma placa comercial, é necessário aprovação prévia da administração regional e seguir as normas de publicidade."
"Como colocar placa de loja?","Para instalar uma placa comercial, é necessário aprovação prévia da administração regional e seguir as normas de publicidade."
"Quais os passos para instalar a placa da minha loja?","Para instalar uma placa comercial, é necessário aprovação prévia da administração regional e seguir as normas de publicidade."
"Como instalar letreiro?","Para instalar uma placa comercial, é necessário aprovação prévia da administração regional e seguir as normas de publicidade."
"Para instalar um letreiro na minha empresa, como proceder?","Para instalar uma placa comercial, é necessário aprovação prévia da administração regional e seguir as normas de publicidade."
"Como solicitar manutenção de parques e praças?","A solicitação de manutenção de parques e praças deve ser feita na administração regional ou pelo telefone 162."
"Pracinha abandonada, como pedir para arrumar?","A solicitação de manutenção de parques e praças deve ser feita na administração regional ou pelo telefone 162."
"Como pedir manutenção de praça?","A solicitação de manutenção de parques e praças deve ser feita na administração regional ou pelo telefone 162."
"A praça perto de casa precisa de cuidados, como solicito?","A solicitação de manutenção de parques e praças deve ser feita na administração regional ou pelo telefone 162."
"Como solicitar conserto de parque?","A solicitação de manutenção de parques e praças deve ser feita na administração regional ou pelo telefone 162."
"O parque do meu bairro está precisando de reparos, como peço ajuda?","A solicitação de manutenção de parques e praças deve ser feita na administração regional ou pelo telefone 162."
"Onde fica a Administração Regional de São Sebastião (RA XIV)?","A Administração Regional de São Sebastião (RA XIV) está localizada na Quadra 101, Área Especial S/N, Residencial Oeste, São Sebastião, DF."
"Qual o endereço da RA XIV (São Sebastião)?","A Administração Regional de São Sebastião (RA XIV) está localizada na Quadra 101, Área Especial S/N, Residencial Oeste, São Sebastião, DF."
"Qual o telefone da Administração Regional de São Sebastião?","Você pode contatar a Administração Regional de São Sebastião pelo telefone 3335-9031. Outros números como (61) 99359-1937 / 99197-3972 também são listados em algumas fontes."
"Como falar com a RA XIV (São Sebastião) por telefone?","O telefone principal da Administração Regional de São Sebastião é 3335-9031. A Central de Ouvidoria 162 também é um canal."
"Qual o horário de funcionamento da Administração Regional de São Sebastião?","O horário de atendimento presencial na Administração Regional de São Sebastião é de segunda a sexta-feira, das 9h às 12h e das 14h às 17h."
"A RA XIV (São Sebastião) abre que horas?","A Administração Regional de São Sebastião tem atendimento presencial de segunda a sexta-feira, das 9h às 12h e das 14h às 17h."
"Como registrar uma reclamação na Ouvidoria sobre São Sebastião?","Você pode registrar reclamações, sugestões ou elogios sobre São Sebastião pela Central 162 (ligação gratuita) ou pelo site Participa-DF. A Ouvidoria Itinerante também visita a região."
"Qual o contato da Ouvidoria para assuntos da RA XIV (São Sebastião)?","Para assuntos referentes a São Sebastião, contate a Ouvidoria pela Central 162 ou pelo site Participa-DF."
"Quais escolas públicas existem em São Sebastião?","São Sebastião possui diversas escolas públicas, incluindo Centros de Educação Infantil (CEI), Escolas Classe (EC), Centros de Ensino Fundamental (CEF), Centros Educacionais (CED) e Centros de Ensino Médio (CEM). Exemplos: CEI Parque dos Ipês, EC 104, CEF Cerâmica São Paulo, CED São Bartolomeu, CEM 01. Para uma lista completa, consulte a Secretaria de Educação do DF ou o site da AR São Sebastião."
"Onde encontrar creches públicas (CEI) na RA XIV (São Sebastião)?","Alguns CEIs em São Sebastião são: CEI 1 (Qd 101 Cj 10), CEI 3 (Qd 202 Cj 4), CEI 5 (Qd 8 Lt C Av das Paineiras Jardim Botânico), CEI Parque dos Ipês (Av Crixá Lt 3)."
"Como funciona o programa Bom de Bola – Craque na Escola em São Sebastião?","É um programa do 21º BPM que oferece aulas gratuitas de futebol para crianças e adolescentes de 8 a 14 anos em São Sebastião. As inscrições são presenciais no batalhão."
"Quais obras de infraestrutura estão acontecendo em São Sebastião (RA XIV)?","Estão previstos investimentos na duplicação da DF-473, construção do novo Núcleo de Assistência Jurídica (NAJ), asfaltamento da avenida principal e melhorias no abastecimento de água e pavimentação de bairros."
"Como está o andamento da regularização de lotes pela CODHAB em São Sebastião?","A CODHAB, através do programa Regulariza DF, tem realizado ações em São Sebastião, como convocação de moradores do Residencial Oeste e divulgação de listas de habilitados. Consulte o site da CODHAB para informações atualizadas."
"Qual o endereço da UPA de São Sebastião?","A Unidade de Pronto Atendimento (UPA) de São Sebastião está localizada na QD 102 conj 1 LT 1, Residencial Oeste."
"Quais linhas de ônibus atendem a região de São Sebastião (RA XIV)?","Diversas linhas atendem São Sebastião, como 0.147 (Rodoviária do Plano Piloto), 0.181 (Paranoá/Itapoã), 181.2 (Circular Lago Sul). Consulte o DF no Ponto ou Moovit para detalhes."
"Qual o endereço do 21º Batalhão da PM em São Sebastião?","O 21º Batalhão da Polícia Militar (21º BPM) em São Sebastião fica na Qd. 201/201 Área especial nº2. O telefone da secretaria é 3190-2111."
"Onde fica a Feira Permanente de São Sebastião?","A Feira Permanente de São Sebastião está localizada na Feira Permanente de São Sebastião - São Sebastião, Brasília - DF, 70297-400. (Dias e horários de funcionamento devem ser verificados localmente ou na AR)."
"Como contatar o escritório da EMATER em São Sebastião (RA XIV)?","O Escritório Local da Emater-DF em São Sebastião fica no Centro de Múltiplas Atividades, lote 8. Telefone: (61) 3339-1556, e-mail: saosebastiao@emater.df.gov.br."
"Como solicitar reparo em poste de luz em São Sebastião?","Solicitações de manutenção da iluminação pública em São Sebastião devem ser feitas à CEB IPes pelo site, telefone 155 ou aplicativo Ilumina DF."
"Como descartar entulho corretamente em São Sebastião (RA XIV)?","Solicite a coleta de entulho ao SLU pelo telefone 162 ou site, ou utilize um Papa Entulho."
"Existe coleta seletiva em São Sebastião? Como funciona?","O SLU realiza coleta seletiva em diversas RAs. Para saber os dias e horários específicos para São Sebastião, consulte o site do SLU."
"Onde posso descartar óleo de cozinha usado em São Sebastião ou proximidades?","A CAESB, em parceria com o SLU, possui pontos de entrega voluntária de óleo de fritura. Verifique no site da CAESB ou SLU os Papa Entulhos que recebem esse material."
"Como obter licença para ser vendedor ambulante em São Sebastião (RA XIV)?","A solicitação de licença para comércio ambulante no DF geralmente é feita junto à Administração Regional da área de interesse, seguindo as normativas do GDF."
"Preciso de alvará para realizar um evento em São Sebastião? Como solicitar?","Sim, geralmente é necessário um alvará ou licença para eventos, emitido pela Administração Regional de São Sebastião, dependendo da natureza e porte do evento."
"Como solicitar o Passe Livre Estudantil morando em São Sebastião?","O Passe Livre Estudantil no DF é gerenciado pelo BRB Mobilidade. A solicitação e acompanhamento são feitos online ou via aplicativo."
"Onde encontrar um posto do PROCON perto de São Sebastião?","Para localizar o posto de atendimento do PROCON-DF mais próximo, consulte o site oficial do PROCON-DF ou ligue no 151."
"Como solicitar o recolhimento de animais mortos em via pública em São Sebastião?","O SLU é o órgão responsável pelo recolhimento de animais mortos de grande porte em vias públicas do DF. O contato pode ser feito pelo telefone 162."
"Como denunciar maus tratos a animais em São Sebastião (RA XIV)?","Denúncias de maus tratos a animais no DF podem ser feitas à Polícia Civil (197), à Polícia Militar Ambiental ou ao Ibram."
"A Administração Regional de São Sebastião emite Carteira de Identidade (RG)?","Não, a emissão de Carteira de Identidade é feita pela Polícia Civil do DF nos postos de identificação ou unidades do Na Hora."
"A RA XIV (São Sebastião) emite Carteira de Trabalho?","Não, a Carteira de Trabalho agora é digital e deve ser acessada pelo aplicativo 'Carteira de Trabalho Digital' ou pelo portal gov.br."
"Como saber sobre concursos públicos para a Administração Regional de São Sebastião?","Concursos para o GDF, que podem incluir vagas para a AR São Sebastião, são divulgados no Diário Oficial do DF e sites de órgãos centrais como a Secretaria de Planejamento."
"Onde encontrar informações sobre o CRAS que atende São Sebastião?","Para localizar o CRAS de referência para São Sebastião e seus serviços, consulte o site da Secretaria de Desenvolvimento Social (SEDES) do DF ou ligue no 156, opção Assistência Social."
"Existem projetos esportivos gratuitos no Centro Olímpico de São Sebastião?","O Centro Olímpico e Paralímpico de São Sebastião oferece diversas modalidades esportivas. Verifique a programação e formas de inscrição diretamente no local ou nos canais da Secretaria de Esporte e Lazer do DF."
"Quais os principais eventos culturais que acontecem na RA XIV (São Sebastião)?","São Sebastião sedia eventos como o Rodeio Fest e outras iniciativas culturais. Acompanhe a agenda no site da Administração Regional ou da Secretaria de Cultura do DF."
"Como participar de conselhos comunitários em São Sebastião?","Informe-se na Administração Regional de São Sebastião sobre a existência e o funcionamento de Conselhos Comunitários (como CONSEG) e como participar."
"A Administração Regional de São Sebastião tem redes sociais oficiais (Facebook, Instagram)?","Verifique no site oficial da Administração Regional de São Sebastião (www.saosebastiao.df.gov.br) se há links para redes sociais oficiais."
"Onde posso encontrar informações sobre as Unidades Básicas de Saúde (UBS) da RA XIV (São Sebastião)?","Para localizar a UBS de referência em São Sebastião e seus contatos, utilize a ferramenta de busca no portal InfoSaúde da Secretaria de Saúde do DF."
"Como solicitar o asfaltamento da minha rua em São Sebastião?","Solicitações de pavimentação ou recapeamento asfáltico podem ser registradas na Administração Regional de São Sebastião ou através da Ouvidoria do GDF (162)."
"A RA XIV (São Sebastião) oferece algum serviço online?","Consulte o site oficial da Administração Regional de São Sebastião (www.saosebastiao.df.gov.br) para verificar quais serviços podem estar disponíveis online."
"Como posso obter uma certidão de Nada Consta na Administração Regional de São Sebastião?","Certidões de Nada Consta geralmente são emitidas por órgãos específicos (como Polícia Civil para antecedentes criminais). Verifique qual certidão você precisa e o órgão emissor. A AR pode orientar."
"Existe algum programa de GDF Presente atuando em São Sebastião? Qual o balanço?","O programa GDF Presente realiza ações em diversas RAs. Para saber sobre as atividades específicas e balanços em São Sebastião, acompanhe as notícias da Agência Brasília ou do site da Administração Regional."
"Como peço para tapar um buraco na minha rua em São Sebastião?","Você pode solicitar a operação tapa-buracos registrando uma ocorrência na Ouvidoria do GDF pelo telefone 162 ou pelo site Participa DF. É importante informar o endereço exato, com ponto de referência, para agilizar o atendimento."
"Minha rua na RA XIV está cheia de buracos, o que eu faço?","Para solicitar o reparo de buracos na sua via em São Sebastião, o canal correto é a Ouvidoria, pelo telefone 162. A sua solicitação será registrada e encaminhada para a equipe de manutenção da Administração Regional."
"Como funciona a operação tapa-buracos em São Sebastião?","A operação tapa-buracos é um serviço contínuo da Administração Regional. Você, cidadão, nos ajuda registrando a demanda pelo telefone 162, e nós incluímos o seu endereço em nosso cronograma de serviços."
"Quero solicitar o serviço de tapa-buracos, como proceder?","O procedimento é registrar um chamado na Ouvidoria do GDF, pelo número 162 ou pelo site Participa DF. A Administração Regional de São Sebastião receberá seu pedido e atuará na solução."
"Como posso saber se minha rua na zona rural de São Sebastião será asfaltada?","A pavimentação em áreas rurais segue um cronograma de obras do GDF. Para informações sobre a previsão para a sua localidade, acompanhe as notícias no site oficial da Administração Regional de São Sebastião ou contate a EMATER local para informações sobre desenvolvimento rural."
"Quero pedir asfalto para a minha chácara na RA XIV, como faço?","Solicitações de infraestrutura, como pavimentação em área rural, devem ser formalizadas através da Administração Regional ou por meio de associações de produtores rurais. Você também pode registrar seu interesse na Ouvidoria (162) para que o GDF tenha ciência da demanda."
"Existe um cronograma para pavimentação rural em São Sebastião?","Projetos de pavimentação são obras de grande porte e fazem parte de um planejamento maior do GDF. Acompanhe os canais oficiais da Administração Regional para se informar sobre novos projetos e cronogramas para a zona rural."
"Tem um vazamento de água limpa na minha rua em São Sebastião, pra quem eu ligo?","Em caso de vazamento de água potável (água limpa), você deve entrar em contato imediatamente com a CAESB pelo telefone 115. Eles são os responsáveis pelo reparo."
"Como relatar um vazamento de esgoto na RA XIV?","Para vazamentos de esgoto, o órgão responsável também é a CAESB. O telefone para solicitar o reparo é o 115. Informe o local exato para que a equipe possa resolver o problema."
"Minha rua está com um cheiro forte de esgoto e vazando, o que fazer?","Vazamentos de esgoto devem ser informados à CAESB o mais rápido possível. Ligue para o número 115 e registre a ocorrência para que uma equipe seja enviada."
"Água limpa jorrando na rua em São Sebastião, é desperdício! Como resolvo?","Para relatar vazamentos de água potável, entre em contato com a CAESB pelo telefone 115 e informe o endereço completo do vazamento."
"A luz do poste da minha rua queimou. Como peço a troca?","Para solicitar a manutenção da iluminação pública (lâmpada queimada, piscando ou acesa durante o dia), você deve contatar a Neoenergia Brasília pelo telefone 155 ou através da agência virtual no site."
"Minha rua inteira está escura, os postes não acendem. Como solicito o reparo em São Sebastião?","Se vários postes de uma rua estão apagados, a solicitação de reparo deve ser feita diretamente à Neoenergia Brasília. O canal oficial para isso é o telefone 155."
"Como faço para relatar um problema de iluminação pública na RA XIV?","Identifique o problema (lâmpada queimada, poste danificado) e ligue para a Neoenergia Brasília no número 155 para registrar sua solicitação de manutenção. Tenha em mãos o endereço completo."
